Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,401
Base Time Seconds,1470363043
Base Time Fractional,.690731820
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.049895672622e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,8.9933738708496,Volt DC,100,T,2W,F,F,08/05/2016,02:10:43,.690731820
2,1.049784827956e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,44.3025856018066,Volt DC,100,T,2W,F,F,08/05/2016,02:10:43,.777911100
3,1.198471211161e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,47.9565429687500,Volt DC,100,T,2W,F,F,08/05/2016,02:10:44,.394522160
4,8.198675627291e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0733871459961,Volt DC,100,T,2W,F,F,08/05/2016,02:10:45,.355601200
5,-5.885964493579e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0064697265625,Volt DC,100,T,2W,F,F,08/05/2016,02:10:45,.972309160
6,7.37934657824e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1227798461914,Volt DC,100,T,2W,F,F,08/05/2016,02:10:46,.933401040
7,8.635673287571e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0550193786621,Volt DC,100,T,2W,F,F,08/05/2016,02:10:47,.550066820
8,6.409913155814e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.0768127441406,Volt DC,100,T,2W,F,F,08/05/2016,02:10:48,.683998160
9,6.687426168384e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1036834716797,Volt DC,100,T,2W,F,F,08/05/2016,02:10:49,.817936600
10,6.523177553674e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1267776489258,Volt DC,100,T,2W,F,F,08/05/2016,02:10:50,.951855120
11,6.332411262022e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2491645812988,Volt DC,100,T,2W,F,F,08/05/2016,02:10:51,.912961560
12,8.364054449039e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.1765060424805,Volt DC,100,T,2W,F,F,08/05/2016,02:10:52,.529642480
13,5.457524987484e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2990951538086,Volt DC,100,T,2W,F,F,08/05/2016,02:10:53,.490767800
14,-8.397120776493e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2292213439941,Volt DC,100,T,2W,F,F,08/05/2016,02:10:54,.107444220
15,5.950764880858e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2535209655762,Volt DC,100,T,2W,F,F,08/05/2016,02:10:55,.241437060
16,6.15085093969e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.2797393798828,Volt DC,100,T,2W,F,F,08/05/2016,02:10:56,.375397360
17,6.229399218682e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3044204711914,Volt DC,100,T,2W,F,F,08/05/2016,02:10:57,.509289720
18,6.142618635963e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4256477355957,Volt DC,100,T,2W,F,F,08/05/2016,02:10:58,.470380680
19,-7.833522164269e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.3554000854492,Volt DC,100,T,2W,F,F,08/05/2016,02:10:59,.087040220
20,7.33228200378e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4758110046387,Volt DC,100,T,2W,F,F,08/05/2016,02:11:00,.048132800
21,7.290132941762e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4032592773438,Volt DC,100,T,2W,F,F,08/05/2016,02:11:00,.664804840
22,6.491759352301e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4304656982422,Volt DC,100,T,2W,F,F,08/05/2016,02:11:01,.798770500
23,6.147273245993e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.4535446166992,Volt DC,100,T,2W,F,F,08/05/2016,02:11:02,.932691480
24,5.865648522452e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5758323669434,Volt DC,100,T,2W,F,F,08/05/2016,02:11:03,.893748960
25,8.031978970813e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5033493041992,Volt DC,100,T,2W,F,F,08/05/2016,02:11:04,.510417280
26,1.677924327259e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6257514953613,Volt DC,100,T,2W,F,F,08/05/2016,02:11:05,.471452500
27,-7.384732825244e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.5559883117676,Volt DC,100,T,2W,F,F,08/05/2016,02:11:06,.088169000
28,7.516672284602e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6757087707520,Volt DC,100,T,2W,F,F,08/05/2016,02:11:07,.049229200
29,-5.657906781975e-11,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6048698425293,Volt DC,100,T,2W,F,F,08/05/2016,02:11:07,.665898360
30,6.126420482033e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7256164550781,Volt DC,100,T,2W,F,F,08/05/2016,02:11:08,.626956900
31,8.098745007956e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.6531028747559,Volt DC,100,T,2W,F,F,08/05/2016,02:11:09,.243648500
32,4.320327429141e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7755622863770,Volt DC,100,T,2W,F,F,08/05/2016,02:11:10,.204722440
33,-4.988877089218e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7053833007813,Volt DC,100,T,2W,F,F,08/05/2016,02:11:10,.821381040
34,5.828667548613e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7302665710449,Volt DC,100,T,2W,F,F,08/05/2016,02:11:11,.955305520
35,6.682515096834e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.7536926269531,Volt DC,100,T,2W,F,F,08/05/2016,02:11:13,.089219560
36,5.695149352114e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8755264282227,Volt DC,100,T,2W,F,F,08/05/2016,02:11:14,.050306720
37,-7.61161578211e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8054237365723,Volt DC,100,T,2W,F,F,08/05/2016,02:11:14,.666967940
38,6.364814231219e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9254341125488,Volt DC,100,T,2W,F,F,08/05/2016,02:11:15,.628011960
39,7.696261405954e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8527984619141,Volt DC,100,T,2W,F,F,08/05/2016,02:11:16,.244695740
40,6.164737609282e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.8792877197266,Volt DC,100,T,2W,F,F,08/05/2016,02:11:17,.378656900
41,5.565533589547e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9024085998535,Volt DC,100,T,2W,F,F,08/05/2016,02:11:18,.512559840
42,6.1377358751e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9289169311523,Volt DC,100,T,2W,F,F,08/05/2016,02:11:19,.646498660
43,6.066198099397e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,48.9525527954102,Volt DC,100,T,2W,F,F,08/05/2016,02:11:20,.780416880
44,6.172710120822e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0746307373047,Volt DC,100,T,2W,F,F,08/05/2016,02:11:21,.741451460
45,8.376676019495e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0018501281738,Volt DC,100,T,2W,F,F,08/05/2016,02:11:22,.358164100
46,-2.212036109839e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1244049072266,Volt DC,100,T,2W,F,F,08/05/2016,02:11:23,.319247840
47,-7.709384797217e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.0547981262207,Volt DC,100,T,2W,F,F,08/05/2016,02:11:23,.935933140
48,6.026893983879e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1746368408203,Volt DC,100,T,2W,F,F,08/05/2016,02:11:24,.896984880
49,1.924881504189e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1044158935547,Volt DC,100,T,2W,F,F,08/05/2016,02:11:25,.513656600
50,6.118701101343e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2244148254395,Volt DC,100,T,2W,F,F,08/05/2016,02:11:26,.474700080
51,7.683705338657e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.1545600891113,Volt DC,100,T,2W,F,F,08/05/2016,02:11:27,.091335060
52,6.256029583263e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2745971679688,Volt DC,100,T,2W,F,F,08/05/2016,02:11:28,.052398680
53,-7.670601376297e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2041740417480,Volt DC,100,T,2W,F,F,08/05/2016,02:11:28,.669067520
54,5.857163642986e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3244438171387,Volt DC,100,T,2W,F,F,08/05/2016,02:11:29,.630160680
55,-5.626495797051e-12,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.2531356811523,Volt DC,100,T,2W,F,F,08/05/2016,02:11:30,.246835380
56,6.042323863475e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3746376037598,Volt DC,100,T,2W,F,F,08/05/2016,02:11:31,.207900860
57,7.576756444472e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3060836791992,Volt DC,100,T,2W,F,F,08/05/2016,02:11:31,.824602560
58,5.283164461467e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4247627258301,Volt DC,100,T,2W,F,F,08/05/2016,02:11:32,.785690380
59,-5.371318390068e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3605117797852,Volt DC,100,T,2W,F,F,08/05/2016,02:11:33,.402348620
60,7.347991104467e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.3819084167480,Volt DC,100,T,2W,F,F,08/05/2016,02:11:34,.536278360
61,5.713159945131e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4057922363281,Volt DC,100,T,2W,F,F,08/05/2016,02:11:35,.670200620
62,5.736515151789e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4287452697754,Volt DC,100,T,2W,F,F,08/05/2016,02:11:36,.804129220
63,6.003746944039e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5511436462402,Volt DC,100,T,2W,F,F,08/05/2016,02:11:37,.765178980
64,-6.996890844491e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.4808044433594,Volt DC,100,T,2W,F,F,08/05/2016,02:11:38,.381862060
65,7.232758836295e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6012954711914,Volt DC,100,T,2W,F,F,08/05/2016,02:11:39,.342944620
66,7.078185260134e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5282821655273,Volt DC,100,T,2W,F,F,08/05/2016,02:11:39,.959597860
67,1.782513858739e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5558319091797,Volt DC,100,T,2W,F,F,08/05/2016,02:11:41,.093525500
68,1.186591380709e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.5751342773438,Volt DC,100,T,2W,F,F,08/05/2016,02:11:42,.227462300
69,5.436422423344e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6083564758301,Volt DC,100,T,2W,F,F,08/05/2016,02:11:43,.361416880
70,5.49147283202e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.7243118286133,Volt DC,100,T,2W,F,F,08/05/2016,02:11:44,.322483420
71,7.376395605441e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.6559867858887,Volt DC,100,T,2W,F,F,08/05/2016,02:11:44,.939210600
72,5.45521072759e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.7743186950684,Volt DC,100,T,2W,F,F,08/05/2016,02:11:45,.900278820
73,-6.41106057131e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.7110748291016,Volt DC,100,T,2W,F,F,08/05/2016,02:11:46,.516979860
74,5.760144583533e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.7301635742188,Volt DC,100,T,2W,F,F,08/05/2016,02:11:47,.650925840
75,6.168031640996e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.7553405761719,Volt DC,100,T,2W,F,F,08/05/2016,02:11:48,.784873220
76,2.785032204855e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.8736038208008,Volt DC,100,T,2W,F,F,08/05/2016,02:11:49,.745903840
77,-7.519878053586e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.8083267211914,Volt DC,100,T,2W,F,F,08/05/2016,02:11:50,.362557300
78,2.045932451233e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,49.9233589172363,Volt DC,100,T,2W,F,F,08/05/2016,02:11:51,.323593220
79,7.548776048694e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.8558082580566,Volt DC,100,T,2W,F,F,08/05/2016,02:11:51,.940281300
80,5.739038133612e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.8782920837402,Volt DC,100,T,2W,F,F,08/05/2016,02:11:53,.074224080
81,6.830069843033e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.9037971496582,Volt DC,100,T,2W,F,F,08/05/2016,02:11:54,.208132340
82,6.701940113985e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.9273796081543,Volt DC,100,T,2W,F,F,08/05/2016,02:11:55,.342027380
83,6.643328664957e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.0500640869141,Volt DC,100,T,2W,F,F,08/05/2016,02:11:56,.303087880
84,7.78160536008e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,49.9776077270508,Volt DC,100,T,2W,F,F,08/05/2016,02:11:56,.919772300
85,4.985362123122e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.1001853942871,Volt DC,100,T,2W,F,F,08/05/2016,02:11:57,.880831280
86,-6.976341726528e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.0301513671875,Volt DC,100,T,2W,F,F,08/05/2016,02:11:58,.497451580
87,3.781115975876e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.0545692443848,Volt DC,100,T,2W,F,F,08/05/2016,02:11:59,.631366720
88,5.625075405469e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.0776481628418,Volt DC,100,T,2W,F,F,08/05/2016,02:12:00,.765288360
89,5.797757274273e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.2001342773438,Volt DC,100,T,2W,F,F,08/05/2016,02:12:01,.726386980
90,-6.286147713475e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.1292533874512,Volt DC,100,T,2W,F,F,08/05/2016,02:12:02,.343074840
91,9.047329552203e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.2502365112305,Volt DC,100,T,2W,F,F,08/05/2016,02:12:03,.304196200
92,6.977836086719e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.1775169372559,Volt DC,100,T,2W,F,F,08/05/2016,02:12:03,.920852920
93,6.508729111232e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.2029380798340,Volt DC,100,T,2W,F,F,08/05/2016,02:12:05,.054829620
94,6.990460432732e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.2272720336914,Volt DC,100,T,2W,F,F,08/05/2016,02:12:06,.188714320
95,8.175533028343e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.3499565124512,Volt DC,100,T,2W,F,F,08/05/2016,02:12:07,.149762800
96,7.882037800222e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.2768859863281,Volt DC,100,T,2W,F,F,08/05/2016,02:12:07,.766445780
97,5.045540096837e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.3999328613281,Volt DC,100,T,2W,F,F,08/05/2016,02:12:08,.727483680
98,-5.55099910482e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.3289375305176,Volt DC,100,T,2W,F,F,08/05/2016,02:12:09,.344172680
99,5.619040788218e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.3540344238281,Volt DC,100,T,2W,F,F,08/05/2016,02:12:10,.478135020
100,5.870461339263e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.3773040771484,Volt DC,100,T,2W,F,F,08/05/2016,02:12:11,.612014740
101,5.877994202486e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.5001106262207,Volt DC,100,T,2W,F,F,08/05/2016,02:12:12,.573084720
102,-6.337976810045e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.4317512512207,Volt DC,100,T,2W,F,F,08/05/2016,02:12:13,.189782820
103,1.377510994161e-09,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.5499496459961,Volt DC,100,T,2W,F,F,08/05/2016,02:12:14,.150850640
104,7.20996984338e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.4794425964355,Volt DC,100,T,2W,F,F,08/05/2016,02:12:14,.767554880
105,6.600599511408e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.5029487609863,Volt DC,100,T,2W,F,F,08/05/2016,02:12:15,.901493960
106,6.556697962345e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.5292510986328,Volt DC,100,T,2W,F,F,08/05/2016,02:12:17,.035393880
107,6.199709079446e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.6498794555664,Volt DC,100,T,2W,F,F,08/05/2016,02:12:17,.996433040
108,7.858894091051e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.5784187316895,Volt DC,100,T,2W,F,F,08/05/2016,02:12:18,.613096460
109,4.25089158318e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.6991653442383,Volt DC,100,T,2W,F,F,08/05/2016,02:12:19,.574202400
110,-3.643770840611e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.6301918029785,Volt DC,100,T,2W,F,F,08/05/2016,02:12:20,.190841560
111,1.96562752186e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.6525993347168,Volt DC,100,T,2W,F,F,08/05/2016,02:12:21,.324804040
112,6.62403687457e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.7755317687988,Volt DC,100,T,2W,F,F,08/05/2016,02:12:22,.285862100
113,-6.318199297084e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.7037391662598,Volt DC,100,T,2W,F,F,08/05/2016,02:12:22,.902523620
114,7.252040634675e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.8256378173828,Volt DC,100,T,2W,F,F,08/05/2016,02:12:23,.863614080
115,6.146850251021e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.7518424987793,Volt DC,100,T,2W,F,F,08/05/2016,02:12:24,.480296880
116,6.985410028193e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.7780494689941,Volt DC,100,T,2W,F,F,08/05/2016,02:12:25,.614228280
117,7.314396865965e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.8014678955078,Volt DC,100,T,2W,F,F,08/05/2016,02:12:26,.748150020
118,6.887119208265e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.9256858825684,Volt DC,100,T,2W,F,F,08/05/2016,02:12:27,.709231720
119,4.444205004006e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.8517189025879,Volt DC,100,T,2W,F,F,08/05/2016,02:12:28,.325895820
120,4.666728670166e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,50.9755783081055,Volt DC,100,T,2W,F,F,08/05/2016,02:12:29,.286952780
121,-2.416561950547e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.9025650024414,Volt DC,100,T,2W,F,F,08/05/2016,02:12:29,.903632420
122,6.243422445706e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.9273185729980,Volt DC,100,T,2W,F,F,08/05/2016,02:12:31,.037575380
123,8.8623500899e-12,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,51.0487327575684,Volt DC,100,T,2W,F,F,08/05/2016,02:12:31,.998651240
124,-4.054407365395e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,50.9790306091309,Volt DC,100,T,2W,F,F,08/05/2016,02:12:32,.615338280
125,7.204206675659e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,51.0988998413086,Volt DC,100,T,2W,F,F,08/05/2016,02:12:33,.576375140
126,9.034923365014e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.0265998840332,Volt DC,100,T,2W,F,F,08/05/2016,02:12:34,.193018300
127,8.550667951468e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.0486488342285,Volt DC,100,T,2W,F,F,08/05/2016,02:12:35,.326963900
128,8.884354363303e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.0756034851074,Volt DC,100,T,2W,F,F,08/05/2016,02:12:36,.460823600
129,7.233524890182e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,51.1985473632813,Volt DC,100,T,2W,F,F,08/05/2016,02:12:37,.421886800
130,1.164296103973e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.1278686523438,Volt DC,100,T,2W,F,F,08/05/2016,02:12:38,.038556020
131,5.661972002358e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,51.2484359741211,Volt DC,100,T,2W,F,F,08/05/2016,02:12:38,.999641440
132,7.866468587636e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.1730613708496,Volt DC,100,T,2W,F,F,08/05/2016,02:12:39,.616342780
133,1.490357393052e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.1950263977051,Volt DC,100,T,2W,F,F,08/05/2016,02:12:40,.750246160
134,1.694887785675e-09,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,51.2191619873047,Volt DC,100,T,2W,F,F,08/05/2016,02:12:41,.884183580
135,8.184013466916e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,51.3483963012695,Volt DC,100,T,2W,F,F,08/05/2016,02:12:42,.845144320
